"","date","time","round","period","team","score","tries","try_assists","conversions","conversion_attempts","penalty_goals","penalty_goal_attempts","field_goals","field_goal_attempts","sin_bins","send_offs","penalties","scrums","sets","completions","total_runs","total_runs_metres","hitups","hitups_metres","runs","runs_metres","dummy_half_runs","dummy_half_runs_metres","first_receiver_runs","first_receiver_runs_metres","ruck_runs","ruck_runs_metres","kick_return_runs","kick_return_runs_metres","total_runs_in_general_play","total_runs_in_general_play_metres","line_breaks","line_break_assists","tackle_breaks","receives","tackles","one_on_one_tackles","ineffective_tackles","missed_tackles","offloads","errors","kicks","kicks_metres","forty_twenty_kicks","line_dropouts","play_the_balls_total","play_the_balls_slow","play_the_balls_neutral","play_the_balls_fast","possession_percent","used_plays","unused_plays","possession_efficiency_percent"
"1","2015-08-27","7:45PM","25","match","South Sydney","12","2","1","2","2","0","0","0","0","","","6","9","34","23","158","1307","74","646","32","171","8","66","16","120","12","100","12","154","142","1103","2","1","35","415","336","18","14","39","7","12","14 (318m) | 0 | 2","14 (318m) | 0 | 2","14 (318m) | 0 | 2","14 (318m) | 0 | 2","133 | 6 | 94 | 33","133 | 6 | 94 | 33","133 | 6 | 94 | 33","133 | 6 | 94 | 33","50% | 158 | 25 | 86%","50% | 158 | 25 | 86%","50% | 158 | 25 | 86%","50% | 158 | 25 | 86%"
"2","2015-08-27","7:45PM","25","1st_half","South Sydney","6","1","1","1","1","0","0","0","0","","","1","4","17","14","88","742","38","337","18","87","4","30","9","61","8","69","9","139","77","584","1","1","20","227","160","9","5","16","3","4","10 (219m) | 0 | 1","10 (219m) | 0 | 1","10 (219m) | 0 | 1","10 (219m) | 0 | 1","76 | 2 | 49 | 25","76 | 2 | 49 | 25","76 | 2 | 49 | 25","76 | 2 | 49 | 25","55% | 92 | 5 | 95%","55% | 92 | 5 | 95%","55% | 92 | 5 | 95%","55% | 92 | 5 | 95%"
"3","2015-08-27","7:45PM","25","2nd_half","South Sydney","6","1","0","1","1","0","0","0","0","","","5","5","17","9","70","565","36","309","14","84","4","36","7","59","4","31","3","15","65","519","1","0","15","188","176","9","9","23","4","8","4 (99m) | 0 | 1","4 (99m) | 0 | 1","4 (99m) | 0 | 1","4 (99m) | 0 | 1","57 | 4 | 45 | 8","57 | 4 | 45 | 8","57 | 4 | 45 | 8","57 | 4 | 45 | 8","44% | 66 | 20 | 77%","44% | 66 | 20 | 77%","44% | 66 | 20 | 77%","44% | 66 | 20 | 77%"
"4","2015-08-27","7:45PM","25","match","Brisbane","47","8","6","7","8","0","0","1","1","","","4","2","38","29","157","1697","69","547","28","374","15","223","8","76","18","133","6","176","138","1353","9","4","39","392","328","15","12","35","9","10","18 (499m) | 0 | 2","18 (499m) | 0 | 2","18 (499m) | 0 | 2","18 (499m) | 0 | 2","135 | 28 | 95 | 12","135 | 28 | 95 | 12","135 | 28 | 95 | 12","135 | 28 | 95 | 12","50% | 160 | 30 | 84%","50% | 160 | 30 | 84%","50% | 160 | 30 | 84%","50% | 160 | 30 | 84%"
"5","2015-08-27","7:45PM","25","1st_half","Brisbane","22","4","3","3","4","0","0","0","0","","","1","2","18","15","73","865","28","212","15","180","8","126","2","13","9","71","4","161","62","602","4","3","16","179","173","10","5","20","3","5","10 (389m) | 0 | 1","10 (389m) | 0 | 1","10 (389m) | 0 | 1","10 (389m) | 0 | 1","63 | 5 | 52 | 6","63 | 5 | 52 | 6","63 | 5 | 52 | 6","63 | 5 | 52 | 6","45% | 77 | 15 | 84%","45% | 77 | 15 | 84%","45% | 77 | 15 | 84%","45% | 77 | 15 | 84%"
"6","2015-08-27","7:45PM","25","2nd_half","Brisbane","25","4","3","4","4","0","0","1","1","","","3","2","20","14","84","832","41","335","13","194","7","97","6","63","9","62","2","15","76","751","5","1","23","213","155","5","7","15","6","5","8 (110m) | 0 | 1","8 (110m) | 0 | 1","8 (110m) | 0 | 1","8 (110m) | 0 | 1","72 | 23 | 43 | 6","72 | 23 | 43 | 6","72 | 23 | 43 | 6","72 | 23 | 43 | 6","56% | 83 | 15 | 85%","56% | 83 | 15 | 85%","56% | 83 | 15 | 85%","56% | 83 | 15 | 85%"
"7","2015-08-28","7:45PM","25","match","Manly","10","2","2","1","2","0","0","0","0","","","5","6","34","28","144","1119","72","550","40","325","8","58","9","61","1","13","8","49","130","1007","4","4","18","389","262","8","15","30","11","7","20 (404m) | 0 | 0","20 (404m) | 0 | 0","20 (404m) | 0 | 0","20 (404m) | 0 | 0","118 | 22 | 73 | 23","118 | 22 | 73 | 23","118 | 22 | 73 | 23","118 | 22 | 73 | 23","50% | 145 | 20 | 88%","50% | 145 | 20 | 88%","50% | 145 | 20 | 88%","50% | 145 | 20 | 88%"
"8","2015-08-28","7:45PM","25","1st_half","Manly","6","1","1","1","1","0","0","0","0","","","5","3","19","13","77","608","40","323","20","175","4","20","6","33","0","0","5","35","70","551","3","3","8","202","135","2","4","11","6","7","6 (86m) | 0 | 0","6 (86m) | 0 | 0","6 (86m) | 0 | 0","6 (86m) | 0 | 0","60 | 10 | 38 | 12","60 | 10 | 38 | 12","60 | 10 | 38 | 12","60 | 10 | 38 | 12","49% | 73 | 20 | 78%","49% | 73 | 20 | 78%","49% | 73 | 20 | 78%","49% | 73 | 20 | 78%"
"9","2015-08-28","7:45PM","25","2nd_half","Manly","4","1","1","0","1","0","0","0","0","","","0","3","15","15","67","511","32","227","20","150","4","38","3","28","1","13","3","14","60","456","1","1","10","187","127","6","11","19","5","0","14 (318m) | 0 | 0","14 (318m) | 0 | 0","14 (318m) | 0 | 0","14 (318m) | 0 | 0","58 | 12 | 35 | 11","58 | 12 | 35 | 11","58 | 12 | 35 | 11","58 | 12 | 35 | 11","51% | 72 | 0 | 100%","51% | 72 | 0 | 100%","51% | 72 | 0 | 100%","51% | 72 | 0 | 100%"
"10","2015-08-28","7:45PM","25","match","Sydney Roosters","46","8","7","7","8","0","0","0","0","","","7","2","35","31","142","1362","74","656","35","361","3","31","12","104","0","0","10","100","124","1152","6","5","30","342","279","16","21","18","8","9","21 (481m) | 0 | 3","21 (481m) | 0 | 3","21 (481m) | 0 | 3","21 (481m) | 0 | 3","119 | 34 | 61 | 24","119 | 34 | 61 | 24","119 | 34 | 61 | 24","119 | 34 | 61 | 24","50% | 149 | 15 | 91%","50% | 149 | 15 | 91%","50% | 149 | 15 | 91%","50% | 149 | 15 | 91%"
